station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
austin,33,PUBLISHED_FIELD,0.55,9.28,26.81,0.5473965136539302,18.984892562421223,11.741428571428573,2,RG_AdaFedResidual
tongji,33,PUBLISHED_FIELD,19.92,7.88,9.52,19.03414874966625,18.8388497904676,9.656598639455783,2,RG_AdaFedResidual
virtual,33,DISCLOSED_DIGITAL_TWIN,0.31,9.42,27.01,0.3432334600203943,20.388569834720464,12.590928767696171,2,RG_AdaFedResidual
austin,34,PUBLISHED_FIELD,0.54,9.3,26.81,0.5470599591322322,19.094447596066853,11.741302569677096,2,RG_AdaFedResidual
tongji,34,PUBLISHED_FIELD,19.49,7.84,9.44,18.710183281283687,18.501160889929483,9.63904761904762,2,RG_AdaFedResidual
virtual,34,DISCLOSED_DIGITAL_TWIN,0.31,9.42,27.1,0.3051165089654117,20.326669597856466,12.62369523809524,2,RG_AdaFedResidual
austin,35,PUBLISHED_FIELD,0.55,9.32,26.9,0.549348768726623,19.21216528969396,11.773571428571428,2,RG_AdaFedResidual
tongji,35,PUBLISHED_FIELD,19.11,7.81,10.45,18.22959593799994,18.230975650084865,9.623537414965988,2,RG_AdaFedResidual
virtual,35,DISCLOSED_DIGITAL_TWIN,0.28,9.38,27.09,0.3048414210595834,20.07868574460361,12.619649893534154,2,RG_AdaFedResidual
austin,36,PUBLISHED_FIELD,0.5,9.31,26.76,0.5478211442914702,19.152323440870404,11.72347804904106,2,RG_AdaFedResidual
tongji,36,PUBLISHED_FIELD,19.22,7.82,11.26,18.06174682334983,18.316419956565085,9.628027210884351,2,RG_AdaFedResidual
virtual,36,DISCLOSED_DIGITAL_TWIN,0.3,9.4,26.89,0.2957463840020891,20.18837936905816,12.5432380952381,2,RG_AdaFedResidual
austin,37,PUBLISHED_FIELD,0.52,9.29,26.6,0.5434912427826538,19.03266137744434,11.666149624690684,2,RG_AdaFedResidual
tongji,37,PUBLISHED_FIELD,18.32,7.76,11.11,18.41359650249676,17.760776170013447,9.595112782414834,2,RG_AdaFedResidual
virtual,37,DISCLOSED_DIGITAL_TWIN,0.24,9.36,26.89,0.2804841776281922,19.91182120976867,12.54234594335824,2,RG_AdaFedResidual
austin,38,PUBLISHED_FIELD,0.55,9.36,26.64,0.5406183366566809,19.439438016966683,11.680714285714286,2,RG_AdaFedResidual
tongji,38,PUBLISHED_FIELD,17.43,7.72,15.7,17.420837132143866,17.258167979558294,9.554965986394558,2,RG_AdaFedResidual
virtual,38,DISCLOSED_DIGITAL_TWIN,0.28,9.4,27.01,0.2831263709290981,20.155197503722025,12.588181015052,2,RG_AdaFedResidual
austin,39,PUBLISHED_FIELD,0.54,9.27,26.6,0.5463220485779581,18.922967061868874,11.666270944939054,2,RG_AdaFedResidual
tongji,39,PUBLISHED_FIELD,17.43,7.72,15.7,17.200222069909305,17.258167979558294,9.554965986394558,2,RG_AdaFedResidual
virtual,39,DISCLOSED_DIGITAL_TWIN,0.25,9.37,27.01,0.2602204730029179,19.930019792213592,12.587133888289658,2,RG_AdaFedResidual
austin,40,PUBLISHED_FIELD,0.55,9.31,26.56,0.5460677613800822,19.15534710787578,11.652142857142858,2,RG_AdaFedResidual
tongji,40,PUBLISHED_FIELD,15.91,7.82,9.47,17.49961549431749,17.822030601681284,9.55780743514221,2,RG_AdaFedResidual
virtual,40,DISCLOSED_DIGITAL_TWIN,0.23,9.33,26.86,0.2621576798385612,19.695940691232,12.530079589173573,2,RG_AdaFedResidual
austin,41,PUBLISHED_FIELD,0.54,9.25,26.59,0.5457701918515465,18.808562969061693,11.662675865365063,3,RG_AdaFedResidual
tongji,41,PUBLISHED_FIELD,16.92,7.94,9.18,17.711542140942434,18.53607043569437,9.566457502351392,3,RG_AdaFedResidual
virtual,41,DISCLOSED_DIGITAL_TWIN,0.26,9.36,27.04,0.2618556151782679,19.87388683456439,12.598637209074818,3,RG_AdaFedResidual
austin,42,PUBLISHED_FIELD,0.52,9.31,26.65,0.5437492465059179,19.14665742730115,11.684017824850256,3,RG_AdaFedResidual
tongji,42,PUBLISHED_FIELD,19.19,7.86,10.74,17.980549732432276,18.52533706104702,9.626802721088437,3,RG_AdaFedResidual
virtual,42,DISCLOSED_DIGITAL_TWIN,0.22,9.37,26.98,0.2502720236647101,19.90916425291598,12.575250530605627,3,RG_AdaFedResidual
austin,43,PUBLISHED_FIELD,0.55,9.29,26.65,0.5467173675214662,19.04171074423942,11.684285714285714,3,RG_AdaFedResidual
tongji,43,PUBLISHED_FIELD,16.2,8.02,15.07,17.792440826623782,18.994394800967257,9.56975948952206,3,RG_AdaFedResidual
virtual,43,DISCLOSED_DIGITAL_TWIN,0.24,9.4,26.87,0.2626330663247521,20.1135907236768,12.533910844936752,3,RG_AdaFedResidual
austin,44,PUBLISHED_FIELD,0.53,9.31,26.57,0.5435434050347604,19.14637046765296,11.655437574501487,3,RG_AdaFedResidual
tongji,44,PUBLISHED_FIELD,20.08,8.0,11.12,19.393068438328093,19.53553658474835,9.66312925170068,3,RG_AdaFedResidual
virtual,44,DISCLOSED_DIGITAL_TWIN,0.17,9.39,27.12,0.2433303844997083,20.013422149698616,12.628266531862849,3,RG_AdaFedResidual
austin,45,PUBLISHED_FIELD,0.55,9.32,26.62,0.5484927311217459,19.21216528969396,11.67357142857143,3,RG_AdaFedResidual
tongji,45,PUBLISHED_FIELD,15.73,7.91,10.6,19.38914834082584,18.85323750638255,9.634931224795617,3,RG_AdaFedResidual
